From Date,To Date,PM2.5,PM10,NO,NO2,NOx,SO2,CO,Ozone
26-05-2022 00:00,27-05-2022 00:00,49.44,79.21,7.06,14.09,20.97,8.51,0.52,12.48
27-05-2022 00:00,28-05-2022 00:00,35.2,54.99,7.05,13.9,20.94,4.32,0.36,14.57
28-05-2022 00:00,29-05-2022 00:00,51.34,72.94,7,14.01,21.01,4.03,0.21,6.37
29-05-2022 00:00,30-05-2022 00:00,46.38,73,7.02,13.97,21.04,4.15,0.28,7.24
30-05-2022 00:00,31-05-2022 00:00,35.49,75.27,6.98,14.02,21.04,5.21,0.28,6.74
31-05-2022 00:00,01-06-2022 00:00,36.02,75.06,7.06,14.06,21.08,5.24,0.36,4.63
01-06-2022 00:00,02-06-2022 00:00,36.63,76.82,7.03,13.97,20.9,4.18,0.41,7.58
02-06-2022 00:00,03-06-2022 00:00,36.77,82.23,7.01,14.02,21.08,4.52,0.42,9.52
03-06-2022 00:00,04-06-2022 00:00,44.36,79.6,6.97,14.03,21.05,3.34,0.34,10.73
04-06-2022 00:00,05-06-2022 00:00,44.81,82.09,7.02,13.97,20.98,3.7,0.47,15.46
05-06-2022 00:00,06-06-2022 00:00,43.99,88.46,7,13.97,21.04,4.48,0.39,18.63
06-06-2022 00:00,07-06-2022 00:00,41.42,74.47,6.98,14.06,20.96,5.33,0.4,18.38
07-06-2022 00:00,08-06-2022 00:00,39.75,74.59,6.99,13.92,20.95,5.21,0.25,17.29
08-06-2022 00:00,09-06-2022 00:00,42.96,76.64,7,13.93,21.04,5.29,0.45,13.86
09-06-2022 00:00,10-06-2022 00:00,39.66,75.36,7.04,14.08,21.12,3.6,0.25,19.34
10-06-2022 00:00,11-06-2022 00:00,44.74,75.17,7,13.91,21.08,7.46,0.22,13.5
11-06-2022 00:00,12-06-2022 00:00,39.73,66.92,7.05,14.05,21.01,5.03,0.2,11.22
12-06-2022 00:00,13-06-2022 00:00,39.01,65.4,6.99,14,21,5.32,0.3,10.24
13-06-2022 00:00,14-06-2022 00:00,37.06,67.03,7.02,13.94,21.13,4.85,0.23,10.2
14-06-2022 00:00,15-06-2022 00:00,47.6,70.52,6.99,13.91,21.1,3.04,0.34,10.42
15-06-2022 00:00,16-06-2022 00:00,37.16,73.49,7,13.9,21.01,5.81,0.39,10.65
16-06-2022 00:00,17-06-2022 00:00,41.03,71.23,7.02,14.11,21.09,6.27,0.32,10.62
17-06-2022 00:00,18-06-2022 00:00,42.84,71.09,6.97,13.97,21.06,6.55,0.35,12.87
18-06-2022 00:00,19-06-2022 00:00,37.8,67.41,7,13.98,20.94,5.59,0.28,13.36
19-06-2022 00:00,20-06-2022 00:00,39.14,75.79,6.96,14.01,21.01,3.04,0.49,13.67
20-06-2022 00:00,21-06-2022 00:00,35.03,71.09,7.06,13.97,20.83,4.35,0.2,13.06
21-06-2022 00:00,22-06-2022 00:00,39.4,69.35,7.07,14.03,21.13,3.13,0.25,13.07
22-06-2022 00:00,23-06-2022 00:00,41.22,65.47,6.97,14.01,21.04,4.63,0.28,13.27
23-06-2022 00:00,24-06-2022 00:00,41.1,70.31,6.97,14,21.07,3.48,0.22,10.02
24-06-2022 00:00,25-06-2022 00:00,20.49,37.72,7.01,14.05,20.98,3.09,0.21,9.61
25-06-2022 00:00,26-06-2022 00:00,18.18,35.26,7,14,21.08,4.4,0.25,14.54
26-06-2022 00:00,27-06-2022 00:00,16.97,34.79,7.03,13.98,20.98,3.97,0.17,11.79
27-06-2022 00:00,28-06-2022 00:00,19.56,36.92,7.02,13.98,20.85,4.78,0.33,7.08
28-06-2022 00:00,29-06-2022 00:00,20.03,35.41,7.04,14.07,21.01,4.26,0.27,6.64
29-06-2022 00:00,30-06-2022 00:00,20.33,36.76,7.02,14.02,21.01,4.54,0.35,8.72
30-06-2022 00:00,01-07-2022 00:00,20.59,38.63,7.02,13.92,21.02,4.37,0.29,8.73
01-07-2022 00:00,02-07-2022 00:00,20.5,38.76,6.9,14.03,20.89,4.1,0.12,12.41
02-07-2022 00:00,03-07-2022 00:00,22.33,38.16,6.19,4.32,10.46,3.16,0.38,8.29
03-07-2022 00:00,04-07-2022 00:00,23.72,38.42,6.17,4.33,10.5,4.19,0.16,6.92
04-07-2022 00:00,05-07-2022 00:00,20.83,37.2,6.2,4.32,10.52,3.25,0.31,5.89
05-07-2022 00:00,06-07-2022 00:00,20.78,39.3,6.43,3.72,10.13,4.29,0.22,7.51
06-07-2022 00:00,07-07-2022 00:00,16.96,34.25,6.41,2.6,9.01,3.86,0.26,6.98
07-07-2022 00:00,08-07-2022 00:00,19.46,37.07,6.41,2.6,9.02,4.42,0.39,15.14
08-07-2022 00:00,09-07-2022 00:00,20.37,37.96,6.41,2.57,9,2.79,0.29,16.35
09-07-2022 00:00,10-07-2022 00:00,20.98,37.38,6.4,2.59,9,1.62,0.23,18.43
10-07-2022 00:00,11-07-2022 00:00,18.5,36.47,6.41,2.57,9.02,1.92,0.16,18.08
11-07-2022 00:00,12-07-2022 00:00,19.54,35.44,6.4,2.59,9,2.98,4.93,17.88
12-07-2022 00:00,13-07-2022 00:00,18.49,33.87,6.42,2.61,9,2.55,5.05,18.24
13-07-2022 00:00,14-07-2022 00:00,20.11,36.26,6.41,2.58,9.02,1.61,3.09,17.73
14-07-2022 00:00,15-07-2022 00:00,12.28,35.87,6.41,2.59,9.01,4.1,1.5,17.44
15-07-2022 00:00,16-07-2022 00:00,11.1,33.93,6.42,2.58,9.02,4.64,1.51,16.75
16-07-2022 00:00,17-07-2022 00:00,8.5,34.37,6.41,2.58,9,3.69,1.5,17.28
17-07-2022 00:00,18-07-2022 00:00,13.47,35.44,6.41,2.6,9.04,2.3,1.5,14.95
18-07-2022 00:00,19-07-2022 00:00,16.43,37.51,6.41,2.58,9.01,2,1.5,14.17
19-07-2022 00:00,20-07-2022 00:00,19.96,36.95,6.4,2.59,9.01,3.65,1.5,13.94
20-07-2022 00:00,21-07-2022 00:00,12.42,23.3,6.42,2.59,9,4.32,1.34,16.23
21-07-2022 00:00,22-07-2022 00:00,19.76,35.98,6.41,2.59,8.99,6.63,0.6,18.15
22-07-2022 00:00,23-07-2022 00:00,22.9,37.21,6.42,2.61,9.01,4.07,0.6,12.68
23-07-2022 00:00,24-07-2022 00:00,14.02,28.23,6.4,2.59,8.98,2.29,0.6,17.29
24-07-2022 00:00,25-07-2022 00:00,9.09,24.61,6.41,2.59,8.99,2.74,0.6,15.04
25-07-2022 00:00,26-07-2022 00:00,11.59,27.35,6.41,2.59,9,4.87,0.6,14.98
26-07-2022 00:00,27-07-2022 00:00,17.46,32.83,6.41,2.6,8.97,5.69,0.6,13.93
27-07-2022 00:00,28-07-2022 00:00,13.3,29.12,6.41,2.58,8.99,4.71,0.6,13.58
28-07-2022 00:00,29-07-2022 00:00,16.86,32.48,6.41,2.59,9.02,4.21,0.6,15.74
29-07-2022 00:00,30-07-2022 00:00,28.85,41.69,6.41,2.59,9.04,5.52,0.6,17.49
30-07-2022 00:00,31-07-2022 00:00,20.69,33.11,6.42,2.61,9,7.08,0.6,17.32
31-07-2022 00:00,01-08-2022 00:00,15.33,29.06,6.42,2.59,9.02,10.44,0.6,17.8
01-08-2022 00:00,02-08-2022 00:00,29.35,49.41,6.41,2.6,8.97,None,0.6,15.87
02-08-2022 00:00,03-08-2022 00:00,16.77,39.15,6.4,2.58,9,6.21,0.6,14.43
03-08-2022 00:00,04-08-2022 00:00,5.29,33.34,6.41,2.6,9.01,7.95,0.6,15.63
04-08-2022 00:00,05-08-2022 00:00,9.28,31.2,6.4,2.6,9.02,7.09,0.6,15.46
05-08-2022 00:00,06-08-2022 00:00,2.9,26.9,6.42,2.61,8.99,4.56,0.6,16.24
